date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ
2024-01-02,sh.605117,82.0000,82.0000,79.0000,79.1500,83.9000,20207686,1620691702.6200,3,13.819300,1,-5.661500,0,15.771255,4.147311,110.683172,6.602369
2024-01-03,sh.605117,79.9700,80.6700,78.3600,79.6100,79.1500,13371738,1061882896.6200,3,9.144400,1,0.581200,0,15.862913,4.171414,111.326435,6.640741
2024-01-04,sh.605117,78.5600,80.3200,77.2400,78.0000,79.6100,12544026,985498266.3900,3,8.578400,1,-2.022400,0,15.542108,4.087053,109.075015,6.506441
2024-01-05,sh.605117,77.7600,79.0600,75.5000,76.4600,78.0000,13172483,1017241583.9000,3,9.008200,1,-1.974400,0,15.235251,4.006360,106.921483,6.377981
2024-01-08,sh.605117,76.0000,81.7700,76.0000,80.2900,76.4600,21136559,1680676384.4600,3,14.454500,1,5.009200,0,15.998409,4.207044,112.277346,6.697464
2024-01-09,sh.605117,79.5100,83.3000,77.3300,79.8000,80.2900,19364711,1553306762.5900,3,13.242800,1,-0.610300,0,15.900772,4.181369,111.592131,6.656590
2024-01-10,sh.605117,78.9700,87.7800,78.6000,87.7800,79.8000,30915895,2651010160.9400,3,21.142200,1,10.000000,0,17.490850,4.599506,122.751344,7.322249
2024-01-11,sh.605117,86.0500,94.2700,85.7500,92.6000,87.7800,28043567,2536205660.0400,3,19.178000,1,5.491000,0,18.451272,4.852065,129.491620,7.724313
2024-01-12,sh.605117,91.5100,93.0000,88.9000,89.2000,92.6000,19513234,1771245046.8300,3,13.344400,1,-3.671700,0,17.773796,4.673912,124.737069,7.440699
2024-01-15,sh.605117,89.1500,92.0900,87.5300,89.3100,89.2000,15368757,1371773565.1600,3,10.510100,1,0.123300,0,17.795714,4.679675,124.890892,7.449875
2024-01-16,sh.605117,88.1100,89.4000,85.7000,87.8000,89.3100,14940905,1304200668.4800,3,10.217500,1,-1.690700,0,17.494835,4.600554,122.779312,7.323917
2024-01-17,sh.605117,86.3000,90.3000,85.8700,87.7700,87.8000,15791003,1393249564.5700,3,10.798900,1,-0.034200,0,17.488857,4.598982,122.737360,7.321415
2024-01-18,sh.605117,87.0000,92.8800,86.9900,92.8800,87.7700,21621552,1963319434.6100,3,14.786200,1,5.822000,0,18.507064,4.866737,129.883172,7.747670
2024-01-19,sh.605117,92.0000,92.4800,83.5900,83.5900,92.8800,21420020,1865221869.1800,3,14.648400,1,-10.002200,0,16.655959,4.379958,116.892058,6.972736
2024-01-22,sh.605117,80.0000,87.1000,79.4100,83.2000,83.5900,18292715,1527840647.7600,3,12.509700,1,-0.466600,0,16.578249,4.359523,116.346683,6.940204
2024-01-23,sh.605117,83.2000,87.0000,79.0000,81.4300,83.2000,17836161,1486557671.8900,3,12.197500,1,-2.127400,0,16.225563,4.266778,113.871519,6.792558
2024-01-24,sh.605117,81.3300,82.8500,79.0000,82.2500,81.4300,13277663,1073995675.0700,3,9.080100,1,1.007000,0,16.388954,4.309745,115.018205,6.860959
2024-01-25,sh.605117,81.0200,81.3000,75.1800,78.1000,82.2500,22114302,1714306349.2600,3,15.123200,1,-5.045600,0,15.562034,4.092293,109.214855,6.514783
2024-01-26,sh.605117,77.0000,79.9700,76.4100,76.5100,78.1000,11983279,932059498.2200,3,8.194900,1,-2.035900,0,15.245214,4.008980,106.991403,6.382151
2024-01-29,sh.605117,76.3000,76.3000,68.8600,68.8600,76.5100,13501800,961953301.2600,3,9.233400,1,-9.998700,0,13.720892,3.608134,96.293661,5.744020
2024-01-30,sh.605117,66.0100,74.3000,66.0000,71.0000,68.8600,18405067,1321903627.7100,3,12.586600,1,3.107800,0,14.147304,3.720266,99.286232,5.922530
2024-01-31,sh.605117,71.1500,71.1500,67.3000,67.5700,71.0000,10744132,739796389.8800,3,7.347500,1,-4.831000,0,13.463850,3.540540,94.489728,5.636413
2024-02-01,sh.605117,67.0000,74.3300,66.9000,71.7100,67.5700,18566199,1345908803.0000,3,12.696700,1,6.127000,0,14.288777,3.757469,100.279094,5.981755
2024-02-02,sh.605117,71.4500,72.4500,67.2000,68.8900,71.7100,15294413,1067081833.8600,3,10.459300,1,-3.932500,0,13.726870,3.609706,96.335613,5.746522
2024-02-05,sh.605117,69.1000,69.9700,64.1700,64.8000,68.8900,13913852,927027935.1600,3,9.515200,1,-5.937000,0,12.911905,3.395398,90.616166,5.405351
2024-02-06,sh.605117,63.5000,69.7200,62.2500,68.8000,64.8000,14406070,949912720.6500,3,9.851800,1,6.172800,0,13.708937,3.604990,96.209757,5.739015
2024-02-07,sh.605117,70.1800,74.5000,70.1800,73.2500,68.8000,15479719,1121500532.4300,3,10.586000,1,6.468000,0,14.595634,3.838162,102.432626,6.110216
2024-02-08,sh.605117,73.0000,75.0400,69.1100,73.6700,73.2500,15003562,1085431661.7300,3,10.260400,1,0.573400,0,14.679322,3.860169,103.019953,6.145250
2024-02-19,sh.605117,72.0000,75.5800,71.1000,75.0000,73.6700,10803515,800814875.2800,3,7.388100,1,1.805300,0,14.944335,3.929858,104.879822,6.256193
2024-02-20,sh.605117,74.2500,74.2500,70.8800,73.1000,75.0000,10219651,741046404.8500,3,6.988800,1,-2.533300,0,14.565745,3.830302,102.222867,6.097703
2024-02-21,sh.605117,72.2000,80.4100,71.1900,78.0000,73.1000,19397607,1502522677.7500,3,13.265300,1,6.703100,0,15.542108,4.087053,109.075015,6.506441
2024-02-22,sh.605117,77.8000,80.5500,77.0000,78.8400,78.0000,13520793,1063181049.0800,3,9.246400,1,1.076900,0,15.709485,4.131067,110.249669,6.576511
2024-02-23,sh.605117,79.9600,82.8500,78.1700,80.1300,78.8400,13254850,1064397181.0500,3,9.064500,1,1.636200,0,15.966527,4.198661,112.053602,6.684117
2024-02-26,sh.605117,78.5000,79.5100,76.7000,78.1100,80.1300,11030300,860193876.1200,3,7.543200,1,-2.520900,0,15.564027,4.092817,109.228839,6.515617
2024-02-27,sh.605117,77.0000,81.2100,76.7000,81.0000,78.1100,12094100,966365810.6900,3,8.270700,1,3.699900,0,16.139882,4.244247,113.270208,6.756689
2024-02-28,sh.605117,81.8000,86.5000,79.5000,80.4000,81.0000,16113339,1343697433.8400,3,11.019300,1,-0.740700,0,16.020327,4.212808,112.431169,6.706639
2024-02-29,sh.605117,79.0500,83.8100,78.0000,83.7000,80.4000,10249177,837197908.6200,3,7.009000,1,4.104500,0,16.677878,4.385722,117.045882,6.981912
2024-03-01,sh.605117,83.3100,87.1700,82.0000,86.1500,83.7000,11893748,1004232176.0400,3,8.133700,1,2.927100,0,17.166059,4.514097,120.471956,7.186281
2024-03-04,sh.605117,86.0700,90.4500,85.2000,87.3800,86.1500,11175220,984457043.8400,3,7.642300,1,1.427700,0,17.411147,4.578547,122.191985,7.288882
2024-03-05,sh.605117,86.3800,88.6000,85.0000,85.1200,87.3800,8613928,743948508.8900,3,5.890700,1,-2.586400,0,16.960824,4.460127,119.031606,7.100362
2024-03-06,sh.605117,84.5000,92.5000,83.0700,88.7900,85.1200,10142060,889158392.4700,3,6.935800,1,4.311600,0,17.692100,4.652428,124.163725,7.406499
2024-03-07,sh.605117,88.0000,89.8000,85.4400,85.4600,88.7900,6837067,598469143.5200,3,4.675600,1,-3.750400,0,17.028572,4.477943,119.507061,7.128724
2024-03-08,sh.605117,86.3000,94.0100,86.3000,94.0100,85.4600,13746867,1258238929.8600,3,9.401000,1,10.004700,0,18.732226,4.925946,131.463361,7.841930
2024-03-11,sh.605117,97.9900,103.4100,96.1500,103.4100,94.0100,18647458,1863776772.6400,3,12.752300,1,9.998900,0,20.605249,5.418489,144.608299,8.626039
2024-03-12,sh.605117,103.4300,109.9600,101.5800,107.2800,103.4100,16610699,1761248894.3900,3,11.359400,1,3.742400,0,21.376377,5.621269,150.020098,8.948859
2024-03-13,sh.605117,105.5800,107.0000,101.1800,102.5700,107.2800,13643693,1412815647.3000,3,9.330400,1,-4.390400,0,20.437873,5.374474,143.433645,8.555970
2024-03-14,sh.605117,101.0000,103.0000,98.3700,99.0000,102.5700,13138163,1313891126.3800,3,8.984700,1,-3.480500,0,19.726522,5.187413,138.441365,8.258175
2024-03-15,sh.605117,98.5800,99.6700,95.6100,97.5000,99.0000,11412273,1108174267.0600,3,7.804400,1,-1.515200,0,19.427635,5.108816,136.343769,8.133051
2024-03-18,sh.605117,98.1300,103.5800,96.6600,103.5800,97.5000,14204502,1420969833.7700,3,9.713900,1,6.235900,0,20.639123,5.427396,144.846026,8.640220
2024-03-19,sh.605117,102.0000,104.4100,99.5000,99.7700,103.5800,8916156,904267588.1700,3,6.097400,1,-3.678300,0,19.879951,5.227760,139.518131,8.322406
2024-03-20,sh.605117,99.0000,103.5400,98.2100,100.4800,99.7700,7205082,728510976.7400,3,4.927300,1,0.711600,0,20.021424,5.264962,140.510994,8.381631
2024-03-21,sh.605117,99.0100,99.6500,95.0000,95.8500,100.4800,11271196,1087753871.1100,3,7.708000,1,-4.607900,0,19.098860,5.022359,134.036413,7.995415
2024-03-22,sh.605117,95.4000,96.6900,94.2300,94.9900,95.8500,7301195,695983384.4000,3,4.993000,1,-0.897200,0,18.927498,4.977297,132.833791,7.923677
2024-03-25,sh.605117,94.2100,98.0000,93.1800,95.8800,94.9900,7588438,728483944.8500,3,5.189500,1,0.936900,0,19.104838,5.023931,134.078365,7.997918
2024-03-26,sh.605117,95.1000,102.2200,94.3900,101.7700,95.8800,11599539,1143714326.8100,3,7.932500,1,6.143100,0,20.278466,5.332556,142.314927,8.489237
2024-03-27,sh.605117,100.5000,104.5600,96.0300,96.1300,101.7700,10046396,1009178030.9400,3,6.870400,1,-5.541900,0,19.154652,5.037030,134.427964,8.018772
