date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ
2024-01-02,sz.300308,112.8500,114.7800,110.5300,110.6100,112.9100,14791052,1658786396.2500,3,1.971600,1,-2.037000,0,53.258520,9.054730,52.894540,6.543955
2024-01-03,sz.300308,109.1100,109.9900,104.8900,104.9900,110.6100,22108689,2356778140.4100,3,2.947000,1,-5.080900,0,50.552500,8.594666,50.207014,6.211462
2024-01-04,sz.300308,104.7000,105.6700,102.3600,104.0000,104.9900,16650744,1734928760.1300,3,2.219500,1,-0.942900,0,50.075817,8.513623,49.733588,6.152892
2024-01-05,sz.300308,103.6200,104.5000,99.2000,100.0300,104.0000,17552090,1773515105.4100,3,2.339600,1,-3.817300,0,48.164269,8.188632,47.835104,5.918017
2024-01-08,sz.300308,99.8000,101.1100,97.8200,98.8000,100.0300,13263010,1316070423.6000,3,1.767900,1,-1.229600,0,47.572026,8.087942,47.246909,5.845247
2024-01-09,sz.300308,101.7800,103.5300,100.5000,101.3200,98.8000,20001059,2039717585.8900,3,2.666100,1,2.550600,0,48.785402,8.294234,48.451992,5.994336
2024-01-10,sz.300308,101.3300,102.7100,98.3000,100.0000,101.3200,13860209,1393780738.2000,3,1.847500,1,-1.302800,0,48.149824,8.186176,47.820758,5.916242
2024-01-11,sz.300308,100.0000,104.4800,99.9100,103.3900,100.0000,19289732,1984685244.8200,3,2.571300,1,3.390000,0,49.782103,8.463688,49.441882,6.116802
2024-01-12,sz.300308,102.6300,102.9800,99.5600,100.5600,103.3900,13842001,1398417951.1400,3,1.845100,1,-2.737200,0,48.419463,8.232019,48.088554,5.949373
2024-01-15,sz.300308,99.3600,103.6000,99.3600,101.8800,100.5600,12647626,1289058895.3600,3,1.685900,1,1.312600,0,49.055041,8.340076,48.719788,6.027467
2024-01-16,sz.300308,100.8900,101.2600,98.4000,100.2900,101.8800,16902585,1682657692.4600,3,2.253100,1,-1.560700,0,48.289458,8.209916,47.959438,5.933399
2024-01-17,sz.300308,100.6600,102.8400,99.0200,99.0200,100.2900,19193181,1945345016.6000,3,2.558400,1,-1.266300,0,47.677956,8.105952,47.352114,5.858263
2024-01-18,sz.300308,97.0400,109.9500,96.8300,109.8300,99.0200,37099766,3850429267.6000,3,4.945300,1,10.917000,0,52.882952,8.990877,52.521538,6.497808
2024-01-19,sz.300308,112.3000,113.5800,110.3900,111.0000,109.8300,31897323,3573579547.1900,3,4.251800,1,1.065300,0,53.446305,9.086656,53.081041,6.567028
2024-01-22,sz.300308,116.0000,116.5000,110.9900,111.6000,111.0000,32714966,3731497973.2800,3,4.360800,1,0.540500,0,53.735203,9.135773,53.367966,6.602526
2024-01-23,sz.300308,111.9900,117.2600,110.8400,114.0000,111.6000,29756999,3408601776.0800,3,3.966500,1,2.150500,0,54.890799,9.332241,54.515664,6.744516
2024-01-24,sz.300308,113.6500,114.1800,108.9800,113.7000,114.0000,26955248,3016646610.3100,3,3.593000,1,-0.263200,0,54.746350,9.307682,54.372202,6.726767
2024-01-25,sz.300308,112.4800,119.2000,111.4200,118.3500,113.7000,29700979,3452818091.9700,3,3.959000,1,4.089700,0,56.985317,9.688340,56.595867,7.001872
2024-01-26,sz.300308,117.9900,118.0000,113.8000,115.9600,118.3500,23214974,2684718247.1100,3,3.094500,1,-2.019400,0,55.834536,9.492690,55.452951,6.860474
2024-01-29,sz.300308,113.6500,113.6500,96.7000,103.8200,115.9600,42655860,4424563970.5900,3,5.685900,1,-10.469100,0,49.989147,8.498888,49.647511,6.142242
2024-01-30,sz.300308,103.0000,105.8000,100.7300,101.2000,103.8200,21396846,2200544065.0600,3,2.852100,1,-2.523600,0,48.727622,8.284410,48.394607,5.987237
2024-01-31,sz.300308,100.0200,107.8900,98.7500,102.8000,101.2000,28299456,2927986702.9800,3,3.772200,1,1.581000,0,49.498019,8.415389,49.159739,6.081897
2024-02-01,sz.300308,103.7900,116.0000,101.5500,111.0500,102.8000,35111551,3847918800.1500,3,4.680300,1,8.025300,0,53.470379,9.090749,53.104952,6.569987
2024-02-02,sz.300308,111.8800,113.8800,107.7000,109.8500,111.0500,27957811,3103259131.2100,3,3.726700,1,-1.080600,0,52.892582,8.992515,52.531103,6.498992
