date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ
2024-01-02,sz.000661,145.8000,146.4800,143.7700,145.4300,145.8000,3867674,562307388.5300,3,0.962100,1,-0.253800,0,13.724358,4.307283,29.123861,2.758798
2024-01-03,sz.000661,144.5200,147.2100,143.7800,144.5100,145.4300,2744633,398100443.7300,3,0.682800,1,-0.632600,0,13.637537,4.280035,28.939621,2.741346
2024-01-04,sz.000661,144.5600,145.5300,142.2500,145.3200,144.5100,3782158,542880341.5300,3,0.940900,1,0.560500,0,13.713978,4.304025,29.101832,2.756712
2024-01-05,sz.000661,144.4800,144.5000,139.4500,139.8200,145.3200,4190228,591987496.5100,3,1.042400,1,-3.784800,0,13.194938,4.141128,28.000400,2.652377
2024-01-08,sz.000661,138.4500,141.6000,137.0500,137.6400,139.8200,2530057,351591876.1000,3,0.629400,1,-1.559100,0,12.989209,4.076562,27.563833,2.611023
2024-01-09,sz.000661,137.6600,139.5800,135.8000,138.2900,137.6400,3014838,416090310.5800,3,0.750000,1,0.472200,0,13.050550,4.095813,27.694002,2.623353
2024-01-10,sz.000661,138.3000,140.6600,136.6800,137.9500,138.2900,2189562,303862539.1800,3,0.544700,1,-0.245900,0,13.018464,4.085743,27.625913,2.616903
2024-01-11,sz.000661,137.5200,137.5200,128.4900,133.4100,137.9500,7690968,1014473986.3900,3,1.913200,1,-3.291000,0,12.590020,3.951280,26.716732,2.530780
2024-01-12,sz.000661,127.2100,129.6600,122.0000,125.0000,133.4100,21950016,2725739326.3000,3,5.460300,1,-6.303900,0,11.796361,3.702196,25.032542,2.371242
2024-01-15,sz.000661,125.1000,125.8200,122.3800,122.6300,125.0000,10889103,1347457959.7200,3,2.708800,1,-1.896000,0,11.572702,3.632002,24.557925,2.326284
2024-01-16,sz.000661,122.7000,124.0700,121.1000,124.0300,122.6300,8264867,1013618331.5300,3,2.056000,1,1.141600,0,11.704821,3.673467,24.838290,2.352842
2024-01-17,sz.000661,124.0000,125.3800,123.0600,123.0600,124.0300,7466744,927239108.6400,3,1.857400,1,-0.782100,0,11.613282,3.644738,24.644037,2.334441
2024-01-18,sz.000661,122.7800,125.8800,121.1100,125.4700,123.0600,7463748,918166204.4800,3,1.856700,1,1.958400,0,11.840715,3.716116,25.126664,2.380158
2024-01-19,sz.000661,124.8700,125.5000,123.0300,123.8200,125.4700,4528327,562267362.2800,3,1.126500,1,-1.315100,0,11.685003,3.667247,24.796235,2.348858
2024-01-22,sz.000661,123.6300,123.6300,120.0400,121.7300,123.8200,5519542,673719059.7500,3,1.373200,1,-1.687900,0,11.487768,3.605346,24.377691,2.309211
2024-01-23,sz.000661,121.0000,121.9600,120.1000,121.7300,121.7300,4352293,527615416.2900,3,1.082800,1,0.000000,0,11.487768,3.605346,24.377691,2.309211
2024-01-24,sz.000661,122.4900,123.3800,117.6600,123.3500,121.7300,7150539,862557408.4100,3,1.779000,1,1.330800,0,11.640649,3.653327,24.702113,2.339942
2024-01-25,sz.000661,122.6800,124.9700,120.5300,124.0200,123.3500,6865283,843045789.9400,3,1.708000,1,0.543200,0,11.703878,3.673171,24.836287,2.352652
2024-01-26,sz.000661,122.7000,124.2700,121.1400,122.0300,124.0200,4670754,573807286.8500,3,1.162100,1,-1.604600,0,11.516080,3.614232,24.437769,2.314902
2024-01-29,sz.000661,122.8300,122.8300,119.0900,121.7400,122.0300,4156024,500949773.5700,3,1.034000,1,-0.237600,0,11.488712,3.605643,24.379693,2.309400
2024-01-30,sz.000661,120.4100,120.6800,117.4400,117.4400,121.7400,4070649,483949043.1700,3,1.012700,1,-3.532100,0,11.082917,3.478287,23.518574,2.227830
2024-01-31,sz.000661,116.8100,117.7700,114.0700,114.2500,117.4400,4836989,557392342.1700,3,1.203400,1,-2.716300,0,10.781874,3.383807,22.879743,2.167316
2024-02-01,sz.000661,113.4500,116.8400,112.8700,114.6400,114.2500,4052607,466273150.2800,3,1.008300,1,0.341400,0,10.818679,3.395358,22.957845,2.174714
2024-02-02,sz.000661,114.6400,115.9600,108.9400,111.3000,114.6400,5948829,665805556.3000,3,1.480000,1,-2.913500,0,10.500604,3.295533,22.282872,2.110776
2024-02-05,sz.000661,110.0000,112.5700,106.3300,110.7000,111.3000,7297654,801537141.9500,3,1.815600,1,-0.539100,0,10.443997,3.277767,22.162749,2.099397
2024-02-06,sz.000661,109.8800,119.0000,109.2100,118.9900,110.7000,7655848,884758233.7900,3,1.904700,1,7.488700,0,11.226117,3.523229,23.822453,2.256615
2024-02-07,sz.000661,119.4900,121.3500,117.8100,119.5000,118.9900,7075819,847010173.6500,3,1.760400,1,0.428600,0,11.274233,3.538330,23.924558,2.266287
2024-02-08,sz.000661,120.5800,120.9700,118.5700,120.1300,119.5000,5856382,701220746.9500,3,1.457000,1,0.527200,0,11.333671,3.556984,24.050687,2.278235
2024-02-19,sz.000661,121.7000,122.6800,119.3000,121.7700,120.1300,4939624,598789847.1800,3,1.228900,1,1.365200,0,11.488397,3.605544,24.379024,2.309337
2024-02-20,sz.000661,121.0000,124.0000,120.2400,123.0000,121.7700,4635654,568906878.9000,3,1.153300,1,1.010100,0,11.604441,3.641963,24.625277,2.332664
