date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ
2024-01-02,sz.002709,25.2000,25.2000,24.1700,24.2200,25.0800,27351035,670557054.5000,3,1.974500,1,-3.429000,0,15.005735,2.587303,-14.451403,3.544859
2024-01-03,sz.002709,24.1200,24.5000,23.9300,24.3500,24.2200,22136371,536009970.9300,3,1.598400,1,0.536700,0,15.086278,2.601190,-14.528971,3.563886
2024-01-04,sz.002709,24.4000,24.4500,23.4500,23.6600,24.3500,17612282,418041800.0500,3,1.271700,1,-2.833700,0,14.658782,2.527481,-14.117267,3.462897
2024-01-05,sz.002709,23.6600,24.2000,22.8000,22.9400,23.6600,23981551,563313725.5600,3,1.731700,1,-3.043100,0,14.212699,2.450567,-13.687663,3.357517
2024-01-08,sz.002709,22.5100,23.2500,22.1800,22.3200,22.9400,19457980,438493796.9900,3,1.405000,1,-2.702700,0,13.828572,2.384335,-13.317726,3.266774
2024-01-09,sz.002709,22.4600,23.2000,21.8200,22.5400,22.3200,21843931,490599676.4900,3,1.577300,1,0.985700,0,13.964875,2.407837,-13.448994,3.298973
2024-01-10,sz.002709,22.3300,23.6400,22.0800,22.9300,22.5400,30644129,704395273.8200,3,2.212800,1,1.730300,0,14.206503,2.449498,-13.681696,3.356054
2024-01-11,sz.002709,22.9000,24.8200,22.7000,24.2000,22.9300,42525894,1014220827.0300,3,3.070700,1,5.538600,0,14.993344,2.585166,-14.439470,3.541932
2024-01-12,sz.002709,23.9700,24.8500,23.9000,24.1900,24.2000,33260846,809502921.5300,3,2.401700,1,-0.041300,0,14.987148,2.584098,-14.433504,3.540468
2024-01-15,sz.002709,24.0100,24.2000,23.4200,23.5100,24.1900,19440921,460126238.6800,3,1.403800,1,-2.811100,0,14.565848,2.511457,-14.027766,3.440943
2024-01-16,sz.002709,23.5000,24.3400,23.3300,24.0100,23.5100,26579124,636277203.5400,3,1.919200,1,2.126800,0,14.875628,2.564869,-14.326103,3.514124
2024-01-17,sz.002709,23.9400,23.9600,23.1600,23.1700,24.0100,22192069,523518422.2200,3,1.602400,1,-3.498500,0,14.355197,2.475136,-13.824898,3.391180
2024-01-18,sz.002709,22.9000,23.8000,22.7500,23.7400,23.1700,28822319,669144449.1600,3,2.081200,1,2.460100,0,14.708346,2.536027,-14.165001,3.474606
2024-01-19,sz.002709,23.5800,24.6500,23.4500,23.5400,23.7400,33041369,794122212.5700,3,2.385900,1,-0.842500,0,14.584435,2.514662,-14.045667,3.445334
2024-01-22,sz.002709,23.1000,23.2000,21.9100,22.0700,23.5400,32394040,731288012.8900,3,2.339100,1,-6.244700,0,13.673682,2.357629,-13.168558,3.230184
2024-01-23,sz.002709,21.9400,22.6200,21.4600,22.0200,22.0700,22671273,499541409.3400,3,1.637000,1,-0.226600,0,13.642704,2.352288,-13.138725,3.222865
2024-01-24,sz.002709,22.0700,22.2200,20.6300,21.5000,22.0200,41232394,875929060.4700,3,2.977300,1,-2.361500,0,13.320533,2.296739,-12.828455,3.146758
2024-01-25,sz.002709,21.2800,21.7400,20.8200,21.6500,21.5000,31407948,671187410.7600,3,2.267900,1,0.697700,0,13.413467,2.312762,-12.917956,3.168712
2024-01-26,sz.002709,21.4500,21.9200,21.1000,21.1700,21.6500,23496209,504221556.8200,3,1.696600,1,-2.217100,0,13.116078,2.261486,-12.631553,3.098459
2024-01-29,sz.002709,21.1100,21.1700,19.6900,19.7600,21.1700,36201884,730321640.9100,3,2.614100,1,-6.660400,0,12.242499,2.110863,-11.790245,2.892090
2024-01-30,sz.002709,19.6300,20.0800,19.1000,19.1300,19.7600,22776828,445417866.6000,3,1.644700,1,-3.188300,0,11.852176,2.043563,-11.414342,2.799883
2024-01-31,sz.002709,18.9900,19.8000,18.6800,18.6800,19.1300,30941913,590899113.5800,3,2.234300,1,-2.352300,0,11.573375,1.995492,-11.145839,2.734020
2024-02-01,sz.002709,18.5800,18.8000,18.0800,18.3100,18.6800,21467703,395286201.3700,3,1.550100,1,-1.980700,0,11.344138,1.955967,-10.925070,2.679867
2024-02-02,sz.002709,18.3100,18.4500,16.8000,17.5400,18.3100,27183246,481961551.7700,3,1.962800,1,-4.205400,0,10.867077,1.873711,-10.465633,2.567169
