date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ
2024-01-02,sh.600050,4.3800,4.4200,4.2800,4.2900,4.3800,252421555,1089890198.3600,3,0.815200,1,-2.054800,0,16.958957,0.366124,58.045389,0.847175
2024-01-03,sh.600050,4.2700,4.3300,4.2600,4.3200,4.2900,124895928,537368405.7700,3,0.403300,1,0.699300,0,17.077551,0.368684,58.451301,0.853099
2024-01-04,sh.600050,4.3100,4.3500,4.2300,4.2800,4.3200,169329959,724509840.3800,3,0.546800,1,-0.925900,0,16.919426,0.365270,57.910085,0.845200
2024-01-05,sh.600050,4.2700,4.3200,4.2300,4.2500,4.2800,141931394,606476281.6000,3,0.458400,1,-0.700900,0,16.800832,0.362710,57.504173,0.839276
2024-01-08,sh.600050,4.2300,4.2500,4.1800,4.1900,4.2500,143719460,604960719.5700,3,0.464100,1,-1.411800,0,16.563643,0.357589,56.692350,0.827427
2024-01-09,sh.600050,4.2000,4.2100,4.0400,4.0700,4.1900,245792877,1007234767.8300,3,0.793800,1,-2.864000,0,16.089267,0.347348,55.068703,0.803730
2024-01-10,sh.600050,4.0500,4.0500,3.9900,3.9900,4.0700,146686072,588694206.0900,3,0.473700,1,-1.965600,0,15.773016,0.340521,53.986271,0.787932
2024-01-11,sh.600050,3.9900,4.0300,3.9500,4.0200,3.9900,133052156,531024271.1500,3,0.429700,1,0.751900,0,15.891610,0.343081,54.392183,0.793856
2024-01-12,sh.600050,4.0000,4.0600,3.9900,4.0000,4.0200,97923123,393889355.2300,3,0.316200,1,-0.497500,0,15.812547,0.341374,54.121575,0.789907
2024-01-15,sh.600050,3.9800,4.0700,3.9700,4.0500,4.0000,131569023,531255566.9700,3,0.424900,1,1.250000,0,16.010204,0.345641,54.798095,0.799781
2024-01-16,sh.600050,4.0400,4.0700,4.0100,4.0700,4.0500,114772019,464175652.1900,3,0.370600,1,0.493800,0,16.089267,0.347348,55.068703,0.803730
2024-01-17,sh.600050,4.0500,4.0800,4.0100,4.0100,4.0700,130721799,529892275.0900,3,0.422200,1,-1.474200,0,15.852079,0.342228,54.256879,0.791881
2024-01-18,sh.600050,4.0000,4.0600,3.9000,4.0400,4.0100,224468333,891772723.7800,3,0.724900,1,0.748100,0,15.970673,0.344788,54.662791,0.797806
2024-01-19,sh.600050,4.0100,4.0600,3.9900,4.0400,4.0400,147464558,593810720.8900,3,0.476200,1,0.000000,0,15.970673,0.344788,54.662791,0.797806
2024-01-22,sh.600050,4.0400,4.0600,3.9500,3.9900,4.0400,171706294,690524110.7200,3,0.554500,1,-1.237600,0,15.773016,0.340521,53.986271,0.787932
2024-01-23,sh.600050,3.9800,3.9900,3.9300,3.9700,3.9900,139571950,553084584.2300,3,0.450700,1,-0.501300,0,15.693953,0.338814,53.715663,0.783982
2024-01-24,sh.600050,3.9800,4.1400,3.9800,4.1200,3.9700,278577296,1129851383.4200,3,0.899600,1,3.778300,0,16.286924,0.351615,55.745222,0.813604
2024-01-25,sh.600050,4.1300,4.5300,4.1200,4.5300,4.1200,844903595,3757276810.6000,3,2.728500,1,9.951500,0,17.907710,0.386606,61.292684,0.894569
2024-01-26,sh.600050,4.4900,4.5900,4.4700,4.5500,4.5300,691028667,3128445193.8500,3,2.231600,1,0.441500,0,17.986773,0.388313,61.563292,0.898519
2024-01-29,sh.600050,4.5300,4.8300,4.5200,4.5700,4.5500,668327061,3111717828.3000,3,2.158300,1,0.439600,0,18.065835,0.390020,61.833899,0.902468
2024-01-30,sh.600050,4.5600,4.7100,4.5400,4.5500,4.5700,453236114,2096296443.5600,3,1.463700,1,-0.437600,0,17.986773,0.388313,61.563292,0.898519
2024-01-31,sh.600050,4.5200,4.6500,4.4700,4.5200,4.5500,374110646,1700168435.2900,3,1.208100,1,-0.659300,0,17.868178,0.385753,61.157380,0.892595
2024-02-01,sh.600050,4.4700,4.5300,4.4100,4.4500,4.5200,318516374,1422516473.1000,3,1.028600,1,-1.548700,0,17.591459,0.379779,60.210252,0.878771
2024-02-02,sh.600050,4.4500,4.5400,4.2800,4.4500,4.4500,401028221,1782933388.3200,3,1.295100,1,0.000000,0,17.591459,0.379779,60.210252,0.878771
2024-02-05,sh.600050,4.3900,4.4800,4.3300,4.4300,4.4500,346312953,1527590201.4100,3,1.118400,1,-0.449400,0,17.512396,0.378072,59.939644,0.874822
2024-02-06,sh.600050,4.4100,4.5300,4.3000,4.4700,4.4300,391385279,1732327726.3500,3,1.263900,1,0.902900,0,17.670522,0.381486,60.480860,0.882721
2024-02-07,sh.600050,4.4600,4.5700,4.4200,4.5600,4.4700,397010714,1781624832.9100,3,1.282100,1,2.013400,0,18.026304,0.389166,61.698596,0.900494
2024-02-08,sh.600050,4.5300,4.5700,4.5000,4.5600,4.5600,301442016,1367388732.2500,3,0.973500,1,0.000000,0,18.026304,0.389166,61.698596,0.900494
2024-02-19,sh.600050,4.5600,4.7000,4.5100,4.6900,4.5600,369412981,1704432382.1600,3,1.193000,1,2.850900,0,18.540212,0.400261,63.457547,0.926166
2024-02-20,sh.600050,4.7000,4.7800,4.6300,4.7400,4.6900,310493898,1465667236.9500,3,1.002700,1,1.066100,0,18.737869,0.404528,64.134066,0.936039
2024-02-21,sh.600050,4.6900,4.8600,4.6700,4.7300,4.7400,343893246,1639209766.0500,3,1.110600,1,-0.211000,0,18.698337,0.403675,63.998762,0.934065
2024-02-22,sh.600050,4.7900,5.0000,4.7900,4.9000,4.7300,415214081,2033354645.6000,3,1.340900,1,3.594100,0,19.370370,0.418183,66.298929,0.967636
2024-02-23,sh.600050,4.9000,4.9200,4.8100,4.8600,4.9000,303476894,1472202266.1200,3,0.980000,1,-0.816300,0,19.212245,0.414769,65.757714,0.959737
2024-02-26,sh.600050,4.8500,4.8600,4.7200,4.7300,4.8600,288602803,1377165304.8500,3,0.932000,1,-2.674900,0,18.698337,0.403675,63.998762,0.934065
2024-02-27,sh.600050,4.7100,4.8600,4.7000,4.8300,4.7300,264673974,1266358608.8100,3,0.854700,1,2.114200,0,19.093651,0.412209,65.351802,0.953812
2024-02-28,sh.600050,4.8600,4.8700,4.7000,4.7100,4.8300,307143428,1469133151.8700,3,0.991900,1,-2.484500,0,18.619274,0.401968,63.728155,0.930115
2024-02-29,sh.600050,4.6800,4.8000,4.6700,4.8000,4.7100,253667119,1206715183.8400,3,0.819200,1,1.910800,0,18.975057,0.409649,64.945890,0.947888
2024-03-01,sh.600050,4.8000,4.8800,4.7700,4.8400,4.8000,256279650,1238317579.0900,3,0.827600,1,0.833300,0,19.133182,0.413063,65.487106,0.955787
2024-03-04,sh.600050,4.8500,4.9000,4.8100,4.8600,4.8400,245066485,1191256830.8300,3,0.791400,1,0.413200,0,19.212245,0.414769,65.757714,0.959737
2024-03-05,sh.600050,4.8600,4.9400,4.8100,4.8400,4.8600,254983817,1240154716.5500,3,0.823400,1,-0.411500,0,18.772113,0.413128,65.487106,0.955787
2024-03-06,sh.600050,4.8300,4.8600,4.8100,4.8100,4.8400,185213244,894596979.6100,3,0.598100,1,-0.619800,0,18.655756,0.410567,65.081194,0.949863
2024-03-07,sh.600050,4.8000,4.8100,4.7100,4.7200,4.8100,233065817,1107850761.7700,3,0.752700,1,-1.871100,0,18.306688,0.402885,63.863459,0.932090
2024-03-08,sh.600050,4.7200,4.8300,4.7100,4.8300,4.7200,198096495,946391806.7000,3,0.639700,1,2.330500,0,18.733327,0.412274,65.351802,0.953812
2024-03-11,sh.600050,4.8100,4.8300,4.7400,4.7800,4.8300,193067469,921012467.8000,3,0.623500,1,-1.035200,0,18.539400,0.408006,64.675282,0.943939
2024-03-12,sh.600050,4.7800,4.7900,4.6500,4.6700,4.7800,265678829,1249341557.1600,3,0.858000,1,-2.301300,0,18.112761,0.398617,63.186939,0.922216
2024-03-13,sh.600050,4.6600,4.6900,4.5900,4.6300,4.6700,183689696,851026175.4600,3,0.593200,1,-0.856500,0,17.957620,0.395203,62.645723,0.914317
2024-03-14,sh.600050,4.6300,4.6700,4.5800,4.6200,4.6300,150050150,694759375.4400,3,0.484600,1,-0.216000,0,17.916913,0.394307,62.503715,0.912244
2024-03-15,sh.600050,4.6100,4.6200,4.5700,4.6100,4.6200,139541313,641457963.7100,3,0.450600,1,-0.216500,0,17.878132,0.393453,62.368425,0.910270
2024-03-18,sh.600050,4.6200,4.7300,4.6100,4.7200,4.6100,213930468,1001961286.7900,3,0.690900,1,2.386100,0,18.304725,0.402842,63.856609,0.931990
2024-03-19,sh.600050,4.7100,4.7200,4.6300,4.6400,4.7200,152494503,711822726.1000,3,0.492500,1,-1.694900,0,17.994475,0.396014,62.774294,0.916193
2024-03-20,sh.600050,4.6800,4.7500,4.6300,4.7100,4.6400,235180309,1105776295.3500,3,0.759500,1,1.508600,0,18.327006,0.401991,-19.708654,0.940594
2024-03-21,sh.600050,4.6900,4.8000,4.6900,4.7200,4.7100,212908413,1008857315.5100,3,0.687600,1,0.212300,0,18.365916,0.402845,-19.750498,0.942591
2024-03-22,sh.600050,4.7100,4.7300,4.6200,4.6600,4.7200,171741491,800174329.4300,3,0.554600,1,-1.271200,0,18.132451,0.397724,-19.499433,0.930609
2024-03-25,sh.600050,4.6400,4.7100,4.6200,4.6300,4.6600,167281634,780369849.8500,3,0.540200,1,-0.643800,0,18.015719,0.395164,-19.373900,0.924618
2024-03-26,sh.600050,4.6100,4.6400,4.5900,4.6200,4.6300,127337110,587226322.7700,3,0.411200,1,-0.216000,0,17.976808,0.394310,-19.332056,0.922621
2024-03-27,sh.600050,4.6100,4.6700,4.5500,4.5800,4.6200,191978454,883327209.1600,3,0.620000,1,-0.865800,0,17.821165,0.390896,-19.164678,0.914633
2024-03-28,sh.600050,4.5900,4.6600,4.5700,4.6100,4.5800,186350330,859118577.5900,3,0.601800,1,0.655000,0,17.937897,0.393457,-19.290211,0.920624
2024-03-29,sh.600050,4.6000,4.6800,4.5900,4.6700,4.6100,149515038,694130556.1200,3,0.482800,1,1.301500,0,18.171362,0.398578,-19.541277,0.932606
2024-04-01,sh.600050,4.6800,4.8000,4.6700,4.7400,4.6700,201102277,953251088.2900,3,0.649400,1,1.498900,0,18.443738,0.404552,-19.834187,0.946585
2024-04-02,sh.600050,4.7300,4.7700,4.7000,4.7200,4.7400,135732087,641959911.8500,3,0.438300,1,-0.421900,0,18.365916,0.402845,-19.750498,0.942591
2024-04-03,sh.600050,4.7100,4.7200,4.6700,4.6700,4.7200,103653107,486089686.9600,3,0.334700,1,-1.059300,0,18.171362,0.398578,-19.541277,0.932606
2024-04-08,sh.600050,4.6500,4.7200,4.6100,4.6800,4.6700,179314869,838247001.7000,3,0.579100,1,0.214100,0,18.210273,0.399431,-19.583121,0.934603
2024-04-09,sh.600050,4.6700,4.6900,4.5800,4.6100,4.6800,168964894,779934037.2800,3,0.545700,1,-1.495700,0,17.937897,0.393457,-19.290211,0.920624
2024-04-10,sh.600050,4.5900,4.6500,4.5400,4.5600,4.6100,148499971,681020171.5800,3,0.479600,1,-1.084600,0,17.743343,0.389189,-19.080990,0.910639
2024-04-11,sh.600050,4.5400,4.6200,4.5300,4.5500,4.5600,132571710,606832357.7800,3,0.428100,1,-0.219300,0,17.704432,0.388336,-19.039146,0.908642
2024-04-12,sh.600050,4.5500,4.5800,4.5000,4.5200,4.5500,144530316,655535370.4300,3,0.466700,1,-0.659300,0,17.587700,0.385775,-18.913613,0.902651
2024-04-15,sh.600050,4.5200,4.7400,4.5100,4.7300,4.5200,362787960,1693580522.6300,3,1.171600,1,4.646000,0,18.404827,0.403698,-19.792343,0.944588
2024-04-16,sh.600050,4.7200,4.7700,4.6800,4.7300,4.7300,296698186,1403350606.0500,3,0.958200,1,0.000000,0,18.404827,0.403698,-19.792343,0.944588
